track_name,artist(s)_name,released_year,similarity
Call Out My Name,The Weeknd,2018,0.9462911635713849
Hold My Hand,Lady Gaga,2022,0.9227691805726279
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2019,0.8855722312105839
Romantic Homicide,d4vd,2022,0.8346633962199518
ýýý98 Braves,Morgan Wallen,2023,0.8268979628837775
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",2022,0.8186043676103911
Yellow,Chris Molitor,1999,0.8094245722834532
Good Looking,Suki Waterhouse,2017,0.7971195439739194
Cigarettes,Juice WRLD,2021,0.795557282397099
Do They Know It's Christmas? - 1984 Version,Band Aid,1984,0.7941678588839847
